document_id,status,optimized_chunks,duration_seconds,error_message
ACT-01,SUCCESS,325,0.08,
ACT-05,SUCCESS,95,0.01,
ACT-03,SUCCESS,617,0.14,
ACT-06,SUCCESS,412,0.08,
ACT-08,SUCCESS,486,0.09,
ACT-04,SUCCESS,1489,0.3,
ACT-10,SUCCESS,124,0.01,
ACT-02,SUCCESS,1517,0.36,
ACT-12,SUCCESS,155,0.03,
ACT-11,SUCCESS,282,0.08,
ACT-14,SUCCESS,96,0.02,
ACT-15,SUCCESS,191,0.03,
ACT-13,SUCCESS,536,0.09,
ACT-17,SUCCESS,73,0.02,
ACT-18,SUCCESS,73,0.01,
ACT-19,SUCCESS,23,0.0,
ACT-09,SUCCESS,1538,0.28,
JUDG-01,SUCCESS,14,0.02,
JUDG-02,SUCCESS,7,0.0,
JUDG-03,SUCCESS,68,0.02,
JUDG-04,SUCCESS,13,0.02,
JUDG-05,SUCCESS,29,0.0,
ACT-20,SUCCESS,428,0.08,
JUDG-06,SUCCESS,9,0.0,
JUDG-07,SUCCESS,9,0.0,
JUDG-08,SUCCESS,42,0.01,
JUDG-10,SUCCESS,1,0.0,
JUDG-11,SUCCESS,1,0.0,
JUDG-09,SUCCESS,75,0.0,
JUDG-12,SUCCESS,7,0.0,
JUDG-13,SUCCESS,6,0.0,
JUDG-14,SUCCESS,6,0.02,
JUDG-16,SUCCESS,6,0.0,
JUDG-17,SUCCESS,6,0.0,
JUDG-15,SUCCESS,35,0.0,
JUDG-19,SUCCESS,6,0.0,
JUDG-18,SUCCESS,36,0.0,
JUDG-21,SUCCESS,9,0.01,
JUDG-20,SUCCESS,45,0.01,
JUDG-22,SUCCESS,40,0.0,
JUDG-23,SUCCESS,19,0.0,
JUDG-24,SUCCESS,3,0.0,
IRS-01,SUCCESS,15,0.0,
JUDG-25,SUCCESS,53,0.02,
IRS-03,SUCCESS,85,0.0,
IRS-02,SUCCESS,212,0.05,
IRS-04,SUCCESS,96,0.03,
ACT-16,SUCCESS,2072,0.33,
IRS-05,SUCCESS,1040,0.09,
IRS-06,SUCCESS,834,0.09,
IRS-07,SUCCESS,211,0.02,
IRS-08,SUCCESS,173,0.01,
IRS-10,SUCCESS,105,0.01,
IRS-09,SUCCESS,193,0.01,
IRS-13,SUCCESS,296,0.05,
IRS-12,SUCCESS,91,0.06,
IRS-15,SUCCESS,78,0.01,
IRS-11,SUCCESS,290,0.08,
IRS-16,SUCCESS,43,0.03,
IRS-14,SUCCESS,82,0.09,
IRS-18,SUCCESS,79,0.03,
IRS-17,SUCCESS,210,0.06,
IRS-19,SUCCESS,85,0.02,
IRS-22,SUCCESS,75,0.0,
IRS-23,SUCCESS,55,0.0,
IRS-21,SUCCESS,331,0.05,
IRS-20,SUCCESS,184,0.06,
IRS-24,SUCCESS,153,0.03,
COM-01,SUCCESS,24,0.02,
COM-03,SUCCESS,5,0.0,
COM-04,SUCCESS,5,0.0,
COM-05,SUCCESS,29,0.01,
COM-06,SUCCESS,7,0.0,
COM-07,SUCCESS,4,0.0,
COM-08,SUCCESS,4,0.0,
IRS-25,SUCCESS,281,0.05,
COM-09,SUCCESS,12,0.02,
COM-10,SUCCESS,2,0.02,
COM-11,SUCCESS,4,0.0,
COM-12,SUCCESS,16,0.0,
COM-13,SUCCESS,5,0.0,
COM-14,SUCCESS,5,0.0,
COM-15,SUCCESS,1,0.0,
COM-02,SUCCESS,367,0.06,
REG-01,SUCCESS,1726,0.23,
REG-03,SUCCESS,1534,0.22,
REG-02,SUCCESS,1827,0.25,
REG-04,SUCCESS,2302,0.31,
REG-06,SUCCESS,2265,0.31,
REG-05,SUCCESS,2755,0.38,
REG-07,SUCCESS,112,0.08,
REG-08,SUCCESS,1669,0.22,
REG-11,SUCCESS,185,0.02,
REG-09,SUCCESS,1819,0.3,
ACT-07,SUCCESS,10831,1.83,
REG-10,SUCCESS,2390,0.31,
REG-12,SUCCESS,1541,0.2,
REG-13,SUCCESS,2291,0.31,
REG-14,SUCCESS,2631,0.34,
REG-15,SUCCESS,2330,0.31,
